model,MAE,RMSE,sMAPE,group
deepar_exog,83743.64950091575,112647.83610327794,7.054681974064066,TRAIN_GROUP
deepar_exog,36387.58719711539,42795.69171645009,9.376189562952066,TEST_GROUP
