model,MAE,RMSE,sMAPE,group
transformer_exog,455028.35736388696,519476.2347385469,43.716648130138786,TRAIN_GROUP
transformer_exog,90611.25555754607,109913.80475951196,21.856385400011114,TEST_GROUP
