MAE,RMSE,sMAPE,WAPE,Store,model,group
799557.009103757,810429.247947868,67.28618195136269,0.499096320899334,1,lstm_exog,TRAIN_GROUP
877139.0430943554,900739.3723017256,60.92060535310293,0.45868230240733515,2,lstm_exog,TRAIN_GROUP
981045.7624902328,991893.5492058878,58.7199951611983,0.450933635130705,4,lstm_exog,TRAIN_GROUP
755966.2352412718,774083.1243463317,64.49759784779363,0.4838493747002015,6,lstm_exog,TRAIN_GROUP
106545.91438979258,131212.38338465567,19.093093798342654,0.18112532233113143,7,lstm_exog,TRAIN_GROUP
364372.63444777654,369022.64439826726,49.17508741226736,0.3952639097491597,8,lstm_exog,TRAIN_GROUP
805522.186351397,822821.3827183178,57.85883696773177,0.43921796667761537,10,lstm_exog,TRAIN_GROUP
648274.5285237476,655359.436872173,62.64992794601067,0.47465476734726747,11,lstm_exog,TRAIN_GROUP
378585.986705092,383655.5249723702,45.429617297930086,0.37116807024069715,12,lstm_exog,TRAIN_GROUP
945513.1131472043,965967.8968804013,60.98300316753773,0.46382991030434156,13,lstm_exog,TRAIN_GROUP
703254.6721572091,726761.3507635364,49.39466816231569,0.38902605988814354,14,lstm_exog,TRAIN_GROUP
67652.48043577603,85288.92759634535,12.105760729904533,0.11522360156116344,15,lstm_exog,TRAIN_GROUP
352609.22521203966,363591.46337745804,45.957631058666315,0.3753731784745637,17,lstm_exog,TRAIN_GROUP
440763.0414871862,446810.1579643424,52.542996108986536,0.41633734615664636,18,lstm_exog,TRAIN_GROUP
630368.4773154885,645585.2799101233,58.93774716845524,0.4531937164008165,19,lstm_exog,TRAIN_GROUP
943647.9803727665,978995.968431201,59.095151008008976,0.4471846635967301,20,lstm_exog,TRAIN_GROUP
175562.77093508342,186403.75340678325,28.02208026816664,0.24702094856130394,21,lstm_exog,TRAIN_GROUP
396211.9299940914,402901.9094758065,48.94100260078742,0.39397562544607545,22,lstm_exog,TRAIN_GROUP
628187.8091238008,645053.6752674596,57.94649319501243,0.4503436713776863,23,lstm_exog,TRAIN_GROUP
641432.1754339217,656103.1149242531,62.37699678565025,0.475858576802861,24,lstm_exog,TRAIN_GROUP
189259.07733403088,194046.84109335928,31.499798550739317,0.27281824852802306,25,lstm_exog,TRAIN_GROUP
424881.34205266513,430844.7127361841,52.88340435378683,0.41939936616264045,26,lstm_exog,TRAIN_GROUP
770957.1702283302,801161.019404057,59.45930991432385,0.4549679128269827,27,lstm_exog,TRAIN_GROUP
555980.49257489,569001.2884447189,54.756563925649466,0.42988879791692325,28,lstm_exog,TRAIN_GROUP
39020.0904016064,50609.44795209397,7.528380795021017,0.07428044430733012,29,lstm_exog,TRAIN_GROUP
661573.0544334715,667524.9135052728,62.581179167643135,0.47365178952490555,31,lstm_exog,TRAIN_GROUP
554960.5638803147,560440.0178428197,61.677575411086195,0.47073821061218774,32,lstm_exog,TRAIN_GROUP
364038.5970564855,367936.49275816523,45.78998154236145,0.37275323547358963,34,lstm_exog,TRAIN_GROUP
268192.51677265967,274478.23810675525,37.89220774774157,0.32003580351164157,35,lstm_exog,TRAIN_GROUP
774582.8771809145,800365.1206671392,67.41226341820591,0.5007841763052808,39,lstm_exog,TRAIN_GROUP
355840.3215238417,363489.3131699448,44.74327514072242,0.3665966406057916,40,lstm_exog,TRAIN_GROUP
681767.9932787189,694485.304689449,68.00484969271399,0.5079152756077986,41,lstm_exog,TRAIN_GROUP
57325.615068175815,73065.83230991318,10.137203124631878,0.09922697811317803,42,lstm_exog,TRAIN_GROUP
116172.62373376767,125789.42446010507,20.49127652513571,0.18542888424406204,43,lstm_exog,TRAIN_GROUP
234065.70504802623,240723.21205250022,35.71713286224734,0.30419963490178864,45,lstm_exog,TRAIN_GROUP
71812.39156408698,80290.13580556425,15.658635904956977,0.16929220829099023,3,lstm_exog,TEST_GROUP
154101.53430951858,161884.55803320467,37.34038105867507,0.4629524978269184,5,lstm_exog,TEST_GROUP
61403.288131657224,80705.18845965694,11.465405421261023,0.10876773969741639,9,lstm_exog,TEST_GROUP
39929.17772670995,49211.366918504624,7.8409974439318875,0.07747067654542025,16,lstm_exog,TEST_GROUP
62122.066262504166,70945.30229093503,13.13094854170842,0.1423495579863365,30,lstm_exog,TEST_GROUP
251891.96990591506,255952.8009848805,63.875246802142684,0.9439390274193264,33,lstm_exog,TEST_GROUP
178420.88900136875,185242.62288911027,44.711452323381714,0.5799329277657423,36,lstm_exog,TEST_GROUP
34922.260687322894,42815.87075371623,6.859378477967096,0.06659926204843505,37,lstm_exog,TEST_GROUP
86697.56531616955,97583.29338193256,18.117012512377325,0.19993843176428383,38,lstm_exog,TEST_GROUP
178489.76235687558,182979.29692443137,42.05677270248113,0.5385997889668085,44,lstm_exog,TEST_GROUP
