model,Store,MAE,RMSE,sMAPE,WAPE
prophet_regressors,1,90027.21297202793,118384.51036616621,5.597127419289554,0.05619643160345201
prophet_regressors,2,82061.24470279703,109853.53701604228,4.279221949129768,0.04291228506475418
prophet_regressors,3,29584.004102564028,37698.42890542379,7.0618352139421,0.06974202189246438
prophet_regressors,4,81904.46888111907,115096.77647906123,3.753702025595474,0.03764705103283134
prophet_regressors,5,21024.42629953382,27393.712420032447,6.352646838156986,0.06316167268781002
prophet_regressors,6,87854.64841491841,115894.7832266743,5.593076743007372,0.056230575809377875
prophet_regressors,7,70051.42947552448,83964.29192922659,11.956731722481358,0.1190856337962636
prophet_regressors,8,35238.55353146856,52570.99205199452,3.776888996826493,0.0382260552136761
prophet_regressors,9,28478.643286713304,40162.963472521245,5.011178214472623,0.05044612030064597
prophet_regressors,10,108883.36461538471,137475.3442559274,5.853868845890927,0.05936960002058141
prophet_regressors,11,73855.91869463873,95144.68333132712,5.385834150421628,0.054075954495778525
prophet_regressors,12,63443.60864801861,82416.42805781946,6.18255212535694,0.06220051089565157
prophet_regressors,13,84358.91884032625,107851.42423000299,4.140503038478455,0.041383021784688875
prophet_regressors,14,238918.98894522144,292571.65380047454,12.915543253201816,0.13216508411769337
prophet_regressors,15,43812.70680652687,50589.36546638397,7.368134181268396,0.07462044022441641
prophet_regressors,16,42165.99335664337,51236.85662267,8.194443132954936,0.08181055104382232
prophet_regressors,17,70071.66239510487,97805.36628417004,7.402903727027627,0.07459538989211043
prophet_regressors,18,55951.767983683,69988.55027264747,5.30878025465449,0.05285109776105449
prophet_regressors,19,77599.66168414925,90428.7470999689,5.530064881759117,0.05578908263283101
prophet_regressors,20,99100.44603729597,140907.9938731616,4.6399806552599285,0.04696263918878734
prophet_regressors,21,58352.19312354313,70255.7906530941,8.080580056478027,0.08210290837423535
prophet_regressors,22,48184.76443473194,60739.13800516435,4.754267869233463,0.04791279935823342
prophet_regressors,23,93723.5165792541,118417.09600820647,6.654571353876169,0.06718976703734567
prophet_regressors,24,82578.83502913754,100619.46115600993,6.099053163705364,0.061262668783991746
prophet_regressors,25,33317.666544289044,41346.2233854515,4.787753125928238,0.048027643163508243
prophet_regressors,26,65318.05450466201,74635.31920713872,6.467948435547691,0.06447529685790827
prophet_regressors,27,110854.2125349648,131887.55706161386,6.475543354784183,0.0654188217617518
prophet_regressors,28,141409.17513986016,155991.69182230945,10.77027203925028,0.1093387648076695
prophet_regressors,29,31083.727803030313,39784.67370316084,5.902078046009284,0.05917241831510845
prophet_regressors,30,13379.24190559448,17117.68024187061,3.0789838509883514,0.030657852934347522
prophet_regressors,31,48417.15859557105,61050.701454758695,3.4487232696855017,0.03466415939830201
prophet_regressors,32,38036.88167249421,48321.354639055215,3.2195691303844636,0.03226429908925746
prophet_regressors,33,19284.826456876446,25169.58167564945,7.270477909995711,0.07226788665178079
prophet_regressors,34,32562.29911421911,47091.405969610416,3.3064866749448663,0.033341800697580005
prophet_regressors,35,49814.93163170163,61361.71426384494,5.923931929916852,0.059444468710300534
prophet_regressors,36,59151.42744172495,61999.705086685455,17.706069977849992,0.1922637012392605
prophet_regressors,37,13866.717511655046,17644.859281132856,2.649778077442555,0.02644482731456104
prophet_regressors,38,49586.0939860139,56490.49151251776,11.92789072939527,0.11435345194210386
prophet_regressors,39,115896.95275641028,144794.11780271595,7.6113235959860726,0.07492982575814812
prophet_regressors,40,57987.82808857806,75190.83286313886,5.937526995688226,0.05974068054531746
prophet_regressors,41,96405.74853146852,117024.8847980131,7.249006475269632,0.0718220169005775
prophet_regressors,42,43157.986544289015,50840.064628589374,7.4799189811793285,0.07470371806994153
prophet_regressors,43,23954.238712121212,28588.340119055138,3.827952906815759,0.03823454799027202
prophet_regressors,44,33509.21610722616,36154.46272489931,10.559745747506005,0.10111536082226152
prophet_regressors,45,36773.9848834499,45679.24262379157,4.7560463048316945,0.04779270322038015
