Store,MAE,RMSE,sMAPE,model
1,67255.87359169341,82545.09681455624,4.328652614235141,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
2,59043.971399528265,74342.94788285464,3.1638027703717992,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
3,103944.65394518363,106662.68310021373,28.82704071893267,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
4,34338.27802825242,50069.372003678116,1.6187571649599037,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
5,91253.47633506579,92752.27239472879,33.16933518518521,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
6,251194.18636413553,261566.84030016192,16.02265445495069,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
7,76986.75269154561,77468.7159146758,13.676978010136736,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
8,64272.52907033508,73607.73688434715,7.3011362064290015,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
9,86636.60260467866,92333.242614406,17.049143865233216,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
10,65100.34735513528,82588.26182240408,3.752088306867811,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
11,114548.69755010668,129044.97383238298,8.635395545357127,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
12,133720.72361005537,138922.8957796512,13.375007199625028,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
13,59418.46476564181,71450.23460864993,2.950271664428099,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
14,204920.16589329866,226331.51352708047,11.929764009235058,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
15,19795.60294995601,25215.433738646625,3.5243545313513933,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
16,65945.2652179671,75822.7053339749,13.797498386211487,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
17,64340.83003102816,100079.51119052595,6.177818777886115,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
18,107887.23440825698,121967.96744494942,9.945300921188927,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
19,58114.93048872653,64486.15803581465,4.198159292172958,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
20,59416.64369015087,87594.63110381986,2.8307459980271514,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
21,22544.605327725963,33403.806989379795,3.391410968168561,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
22,98030.9328121428,107478.31224187378,9.573269560322279,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
23,64015.95557402709,74166.47539315303,4.638256651003417,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
24,151425.55755149972,172736.59980881985,10.968903744215059,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
25,82946.49102086891,85225.03971363415,11.48809898016173,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
26,94722.05898914096,107375.28851893832,9.093336678479192,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
27,125419.96318662266,145588.19840267324,7.548443323974758,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
28,115003.64117995248,131722.62251432205,9.078624230386273,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
29,33080.98434666511,39736.89549757914,6.683142977008497,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
30,112368.26160275513,114067.27580557173,29.579917497143082,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
31,90891.27361566146,99384.2347499145,6.524601239155066,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
32,158960.2062354595,161335.57384281108,12.695759592686167,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
33,72732.6592199843,74535.32492176007,31.854984345516144,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
34,28277.515657194017,33403.229084425635,2.9081990567198845,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
35,41754.10688870745,49798.59489349415,4.863067647496951,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
36,57908.88391961341,61089.53875806774,22.661232801894073,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
37,108603.75073915797,111889.75177468482,22.861334984794222,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
38,71741.61073630418,74980.15433337993,17.921515624454994,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
39,59269.299103431316,75386.59987611198,3.826510359592328,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
40,122547.82815020037,139605.928406144,12.209374445210752,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
41,38494.09489240506,48546.867443427705,2.8661202923827322,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
42,34195.27744560117,42659.892929163056,6.143074401331287,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
43,18919.437318391283,23511.995007898753,3.1048604441561145,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
44,97815.62688372537,99329.7628427877,33.38742682156092,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
45,39630.656098797,44733.04776781291,5.291363660215809,transformer_exog__dm128__nh8__nl2__do0.2__lr0.001
