model,MAE,RMSE,sMAPE
deepar_exog,59573.68460590279,86287.61716994045,6.041327229137563
lstm_exog,75827.52768229168,98575.42424965772,8.016136785974208
prophet_regressors,142509.7176278063,186757.80483626324,12.138909193925434
sarimax_exog,124157.6802852749,169022.46995104413,10.889343183200204
transformer_exog,113420.91555034724,147263.70647849527,9.86347923209514
