Store,MAE,RMSE,sMAPE,model
1,150139.02500383882,162859.79074839476,9.354568961354687,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
2,120082.98933927875,131224.51581163076,6.300719329697614,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
3,50259.608690793364,52787.70966598439,11.517319679798767,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
4,132031.26682127244,143538.93512406285,6.036035035226648,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
5,55416.75913826889,58384.994122661075,15.990792523633562,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
6,272908.81608971197,276184.8483854495,17.26587843532343,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
7,143608.321822119,146389.76480541987,24.117119235669385,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
8,91155.82117086738,96538.79549079768,9.622001893157023,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
9,93405.36507026167,96652.68370682985,15.758623787092423,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
10,118010.91824092602,130893.0029297135,6.666243119830719,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
11,178498.8895229951,190096.77961129247,13.069247591469662,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
12,99119.65140999985,103341.28298891605,10.106991654004004,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
13,148801.2419250404,156030.33812775134,7.201325194147357,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
14,271774.8187991695,282865.3908073764,15.44462586274353,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
15,98292.524377329,99728.81609226957,16.31134897947024,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
16,87122.7832268727,94375.15139549358,16.029355084044678,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
17,95615.75761893799,103413.8691776145,9.276300658715389,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
18,90312.90057333186,103141.68075882843,8.411021437235284,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
19,122647.18654681058,129190.45670392674,8.632343404661123,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
20,135454.87517124778,148879.03692171673,6.3496812309782795,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
21,137668.71034718968,138741.0553930336,19.137108814000435,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
22,127436.15878510699,136143.24310783908,12.245832802539955,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
23,179313.46646581113,185441.75420798903,12.359944650014299,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
24,138663.92717746916,153172.37786528433,10.09479841636481,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
25,86305.55146493796,87445.43198363397,11.934712018634961,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
26,103430.40654909218,114290.02047251996,9.874280737436846,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
27,248337.57886359873,256661.06057529923,14.30380193672709,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
28,124366.07009101126,130988.98292341639,9.856112141384942,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
29,70710.40013841662,72603.03722537374,13.043316712275743,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
30,37195.105314089655,38368.85253254285,8.15656154118244,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
31,111355.3947179906,116650.06845711725,7.916459497198488,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
32,93658.9603106798,106105.04474301677,7.670140146017172,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
33,19701.779185916057,23862.096056239865,7.324049148446569,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
34,106272.30775296674,107758.91744419886,10.535222750476397,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
35,75069.38350626295,82598.78543607332,8.595649820973117,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
36,35445.67420101918,37456.782552083045,11.693157717487775,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
37,22072.961824908474,24589.704351298842,4.092148709369173,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
38,22956.25297578913,29777.33412600016,5.246858769630268,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
39,129098.59630524201,134164.5822674769,8.079127756635994,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
40,156703.49916622145,170170.461234823,15.288639295759818,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
41,132241.52391553685,137348.21995049657,9.431873267556755,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
42,51585.66202522158,66594.1283885566,9.034762484651605,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
43,33047.61163944658,41025.98846665851,5.290051506384616,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
44,10158.740011815993,11759.167052846902,2.962822926104614,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
45,104668.20295037802,105432.23579210685,13.382213390281358,transformer_exog__dm128__nh8__nl4__do0.1__lr0.0003
