Store,MAE,RMSE,sMAPE,model
1,68189.09812499999,78429.56814092331,4.3856682352736955,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
2,69919.71812500001,81643.79316834695,3.738016673983135,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
3,11185.947187500002,16048.372672740932,2.693691874475518,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
4,65272.058750000026,68962.92636524091,3.049711562535793,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
5,14744.434843749994,16777.969570863857,4.561754152985149,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
6,112250.56687499999,119653.79960710011,7.545479698158864,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
7,75758.56125,82134.44381357024,13.551403410240503,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
8,25480.75937500001,29796.962892023108,2.7933909083256614,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
9,23869.511875000004,30484.28900027989,4.310128047066131,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
10,172889.064375,175330.78379446885,9.65118696331655,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
11,97320.43812500002,105751.57533928473,7.404140427561051,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
12,88605.29749999999,97101.83509932182,9.09381894765879,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
13,64251.92187500003,82253.6139042874,3.185977517181771,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
14,326922.130625,345742.73945340834,18.275495899936878,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
15,46458.529062500005,51026.39395275589,8.08073593404438,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
16,33886.04734375,39392.851989757706,6.621854613304768,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
17,91897.0759375,140729.18673772644,9.089691774637432,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
18,51692.15843750001,58013.31023014984,4.970312640068286,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
19,61306.392500000016,67088.03981533364,4.420129636477099,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
20,90163.34062499998,95210.14615206323,4.295641205237179,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
21,90203.6934375,91519.66573913163,12.977660293879662,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
22,54913.37281249999,66867.51279972447,5.502915995545463,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
23,47506.28,59002.58424619523,3.467547697884642,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
24,78672.33999999997,84435.32184755683,5.8773902675936505,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
25,18740.156250000015,23262.630321021923,2.7330221405804327,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
26,48741.4790625,55292.081275871344,4.799803862129233,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
27,110626.83750000002,126197.38355827243,6.683856595054422,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
28,156771.878125,159564.76716990749,12.36401587213521,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
29,26299.92656250001,31418.468864684084,5.1125350770827405,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
30,18240.66140625,19771.719799661496,4.253899603370581,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
31,52976.185624999955,63737.5416795775,3.87173292987352,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
32,24106.123125000013,27761.349218437197,2.0505701168541552,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
33,15428.421796875009,19930.698143120866,5.804127477109184,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
34,9233.70874999999,13237.814746217891,0.9695265306779225,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
35,43796.07875,66100.98100955237,5.074355944067381,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
36,36323.81796875001,38448.58527882082,11.965635155482769,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
37,18587.966562500005,23502.814617019892,3.5453427812445764,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
38,26964.433437500003,36435.64019636527,6.22544087824201,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
39,53476.973749999976,57311.21389529887,3.4883955340583723,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
40,66756.6303125,74822.93875938393,6.849156227234347,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
41,52378.87125,63858.14989636815,3.9246476188067163,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
42,38725.34781250001,40580.35090356673,6.9003284486213285,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
43,24913.297812499994,29758.618040948946,4.040187296299375,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
44,33685.09921875,34959.52049570679,10.302087434985829,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
45,61592.50375,66094.69976119114,8.114579764267035,deepar_exog__hs80__nl3__do0.2__lr0.001__bs64
