MAE,RMSE,sMAPE,WAPE,Store,model
91996.33105769231,122190.58215024055,5.724339161326049,0.05742558672407693,1,prophet_regressors
75501.00743589741,98321.70964814976,3.9271639030406686,0.03948174032089625,2,prophet_regressors
30207.776723372797,38326.9991840641,7.219321930595058,0.07121251803036191,3,prophet_regressors
113913.56259122281,144511.548568441,5.287914239850314,0.05235989882832871,4,prophet_regressors
22045.684487179497,28463.866835589448,6.677921182875043,0.06622974096510005,5,prophet_regressors
85846.95942800786,110069.57929135523,5.462935732110059,0.05494557257031242,6,prophet_regressors
71491.99033037477,85875.70240810016,12.208434470629413,0.12153455030955007,7,prophet_regressors
35097.23545857989,52294.66391953375,3.7612963145030753,0.03807275628634899,8,prophet_regressors
33462.36933678499,45518.60130976194,5.930641709145248,0.0592741266539077,9,prophet_regressors
142981.43891518743,162719.83787214273,7.653778736657002,0.07796187111545644,10,prophet_regressors
71614.76441814595,91869.12645692388,5.219667332496035,0.052435022275102744,11,prophet_regressors
62769.38865631162,81213.50511761582,6.115615332909038,0.06153950139707623,12,prophet_regressors
78366.8232100591,100324.56844164421,3.8387515636662273,0.038443545705429946,13,prophet_regressors
307320.9316124263,356400.7026353061,16.20445866460836,0.1700036357804811,14,prophet_regressors
59911.822859960535,66646.85550650027,9.9378391839646,0.10203995421235897,15,prophet_regressors
42484.96049802761,51473.532609434806,8.255472912002263,0.08242941177789313,16,prophet_regressors
73286.50511834322,102913.77488219959,7.765565024545642,0.07801777831825589,17,prophet_regressors
56744.66686390536,69780.24454397547,5.343899598514061,0.053600056690207246,18,prophet_regressors
100195.50544625243,113341.27244499407,7.091731113903393,0.07203401679160978,19,prophet_regressors
101540.59774901374,138331.844991235,4.7568100369191,0.04811900093069287,20,prophet_regressors
66996.66551528606,78720.9540357519,9.20265050790936,0.09426588437790027,21,prophet_regressors
57991.32882149903,67873.74057198656,5.709411390201886,0.057664013406259165,22,prophet_regressors
95875.25451923076,115157.73511736738,6.8116103531230765,0.0687323336864555,23,prophet_regressors
84295.40538954639,100302.79238616838,6.226303468167727,0.06253613893402521,24,prophet_regressors
37004.40278846152,44604.086178901365,5.310875584395204,0.05334209856024848,25,prophet_regressors
64936.822899408304,74016.97606942488,6.429832341491521,0.0640989840435302,26,prophet_regressors
139858.57118343192,160923.78255964952,8.099300868390014,0.08253527521307663,27,prophet_regressors
143298.3426602565,157391.63748524664,10.911665745789332,0.11079948504021882,28,prophet_regressors
35451.28348619331,44134.035357803135,6.712520886699167,0.0674866988137768,29,prophet_regressors
9896.06607248522,12115.687179335717,2.261647475815137,0.022676332517164197,30,prophet_regressors
40658.64972879685,57527.40135621207,2.897876543276489,0.02910947184842994,31,prophet_regressors
38119.8643860947,48543.92181466506,3.2266948633663706,0.032334688116252286,32,prophet_regressors
16211.132090729781,20586.58677634966,6.058944859002813,0.060749535861763744,33,prophet_regressors
31499.298205128227,44174.50287070888,3.19597478604636,0.0322533528478771,34,prophet_regressors
115929.00651134129,128015.84342075426,13.18139042637329,0.13833880674833823,35,prophet_regressors
90549.51439102562,92435.31045489528,25.813368085814716,0.2943189291482056,36,prophet_regressors
14866.488232248517,18470.591458296716,2.842724776540582,0.028351461962452775,37,prophet_regressors
65848.28221153845,71192.6343433536,16.229130655000382,0.1518566551636662,38,prophet_regressors
133179.08395463502,160278.33860383427,8.821414867537829,0.0861030882867508,39,prophet_regressors
57851.84514299799,75056.55642491538,5.923421527275459,0.059600587115725634,40,prophet_regressors
108793.26835798821,134301.08391417458,8.234419041678368,0.08105068502347604,41,prophet_regressors
45993.09854783038,55874.87973498945,7.988936510880058,0.07961111586042735,42,prophet_regressors
23337.64165680474,28899.595266938763,3.726879557377908,0.037250366861183215,43,prophet_regressors
39389.67314102566,41704.01999072064,12.545940182089854,0.1188598682696983,44,prophet_regressors
42142.29327416176,50689.67812198942,5.438828220355843,0.05476953672172409,45,prophet_regressors
