model,Store,MAE,RMSE,sMAPE
lstm_exog,1,817883.3115222746,824731.4369690549,68.5256983008554
lstm_exog,2,974291.9961641949,980263.5472557314,68.50316900160969
lstm_exog,3,61847.805142479265,74185.50331472057,15.806499959616982
lstm_exog,4,1237727.6928561358,1245362.3575328446,80.04844928248862
lstm_exog,5,29954.946465160687,35874.70958012541,8.989696037077138
lstm_exog,6,738244.9277716174,749598.4396472694,61.72375153789903
lstm_exog,7,231272.57118792587,241547.02160563238,48.15653126110733
lstm_exog,8,340158.22652446025,343594.5456435318,45.16462585189874
lstm_exog,9,131922.6306987642,143173.84859813462,26.490860969979547
lstm_exog,10,972347.4119251537,978559.0831448538,72.8060586992888
lstm_exog,11,628582.5541991764,635756.798113097,59.729810037777625
lstm_exog,12,620424.0281986464,622822.4362702405,88.31523816827227
lstm_exog,13,1178712.2498349966,1190970.6655023955,81.75597490243364
lstm_exog,14,878086.2936507672,899459.7471953791,63.965263211614584
lstm_exog,15,226994.81561973825,232259.88405987242,47.980910799605034
lstm_exog,16,132230.99699402583,138070.29036593795,29.18934352236284
lstm_exog,17,548715.1107065983,559226.1974101098,82.34226090437582
lstm_exog,18,616609.21892975,625458.2388952987,83.22151015930197
lstm_exog,19,763501.7877938695,778233.7086538603,76.28013540178935
lstm_exog,20,1084874.4287178756,1095463.458435943,69.33133274264482
lstm_exog,21,246324.44176195195,251105.85749943595,41.776228046805485
lstm_exog,22,554294.1357541161,563933.5528635363,76.70302631707263
lstm_exog,23,687280.210545665,706016.9439133895,65.29167082141845
lstm_exog,24,795218.3541079725,814577.754299115,84.16402464026083
lstm_exog,25,212306.18070184437,217175.83863920567,36.06108284604901
lstm_exog,26,562756.2200538375,573606.0543847886,76.94101063369857
lstm_exog,27,934590.8240223887,954135.5947931043,76.33443203100383
lstm_exog,28,797008.0827346932,808135.7386395267,90.01664133022165
lstm_exog,29,238745.83475301115,243012.41707014135,59.13142896596282
lstm_exog,30,73913.05387211924,79242.06596559465,18.70975931695607
lstm_exog,31,649840.370804253,653199.5330986476,60.722753866852344
lstm_exog,32,627449.6317067092,632355.7055880919,72.73001982364384
lstm_exog,33,39701.42963489206,46496.71822858512,14.862229052104267
lstm_exog,34,648872.3955126898,654520.5562874348,101.02775430576716
lstm_exog,35,488255.6981004573,500112.3720779897,82.59760736640301
lstm_exog,36,35405.9255446088,41984.060184535774,10.992790757462975
lstm_exog,37,142970.0554877874,146683.8894425687,31.69059675603505
lstm_exog,38,153443.19830482674,161641.25833592188,43.710455985420026
lstm_exog,39,790517.9269876904,801624.2850088514,68.62732104163025
lstm_exog,40,420648.98054460087,428597.96524406987,55.13504111584694
lstm_exog,41,697304.3850200569,706168.3216747023,70.09854438201971
lstm_exog,42,245225.58995363084,251246.40593488442,53.742777117217486
lstm_exog,43,275798.9602963414,278915.32477177907,56.831636502895414
lstm_exog,44,71817.26860015954,77955.9447099722,24.901141445597652
lstm_exog,45,348800.0662540179,352038.87879449304,59.02834637620356
