model,feature_set,val_fit_predict_sec,test_fit_predict_sec,MAE,RMSE,sMAPE
lstm_exog,FS0,2.3412773609161377,0.3184733390808105,0.0,0.0,0.0
lstm_exog,FS1,0.1396315097808838,0.3248786926269531,19339.866148231085,-433.24178393825423,2.290593952620597
lstm_exog,FS2,0.1482994556427002,0.3360438346862793,11933.211545976927,-2871.963660122012,1.4816462532063923
transformer_exog,FS0,0.3079328536987304,0.4827649593353271,0.0,0.0,0.0
transformer_exog,FS1,0.1846020221710205,0.4882740974426269,-27128.307861985522,-19362.003781494917,-6.663740795977205
transformer_exog,FS2,0.1939146518707275,0.5033714771270752,-308562.8976401014,-447401.08126169315,-59.35072503531075
