model,feature_set,mae_global_micro,mae_store_macro,RMSE,sMAPE,wape_global_micro,wape_store_macro,n_points
lstm_exog,FS0,490302.30287528527,490302.30287528527,540671.0878070989,74.76802463444247,0.46988996480767936,0.5232002425468418,1755
lstm_exog,FS1,657907.5738302888,657907.5738302888,765497.4829457887,95.17007590547321,0.6305174683065989,0.6265905719872756,1755
lstm_exog,FS2,469897.6924465713,469897.69244657137,563025.3626878168,54.348801842970424,0.45033484214144626,0.4226672382129144,1755
transformer_exog,FS0,415102.41855158564,415102.41855158564,472535.04517265456,51.55516388469065,0.3978208132022608,0.39943534416161214,1755
transformer_exog,FS1,472920.7784581906,472920.7784581906,512611.7667412311,74.73603448717431,0.4532320705886308,0.5213272555618856,1755
transformer_exog,FS2,660314.1323149217,660314.1323149215,740033.5312487109,99.51102389551616,0.6328238365920837,0.6481119171125651,1755
