MAE,RMSE,sMAPE,WAPE,Store,model
1120659.9494906832,1129214.5317369718,109.19780884207,0.6995339311664416,1,lstm_exog
1002079.9806559241,1011626.691567665,71.6675033361737,0.524017664408211,2,lstm_exog
79484.01380442348,88174.60909089753,20.705382061347287,0.18737746964984373,3,lstm_exog
1300637.3700665445,1306522.6623411248,85.68858495740588,0.5978325983307899,4,lstm_exog
21076.74026803259,25715.827604829,6.381399967202553,0.06331883453889905,5,lstm_exog
831581.0732488611,845176.8074329331,73.03975918157802,0.5322459701861789,6,lstm_exog
259963.6258769875,274860.62359685067,55.72374965864789,0.4419314978055132,7,lstm_exog
495046.3648030625,498097.68406290526,73.68351905427559,0.5370160740960148,8,lstm_exog
118526.1729568633,123406.43422251797,23.308238133905295,0.20995331552703156,9,lstm_exog
822797.603051527,836567.684926991,57.64004994518329,0.44863753764053066,10,lstm_exog
802407.8295366799,812986.4448206451,84.76091527982534,0.5875083546991571,11,lstm_exog
444285.82550958724,449232.4084582896,55.52997171628845,0.43558060329936305,12,lstm_exog
1259999.5228804108,1273741.9863694136,90.19326413723283,0.6181040300285571,13,lstm_exog
1100687.9770250295,1115355.555387133,89.0961964414405,0.6088780122211225,14,lstm_exog
171838.01852647736,182085.9409776698,34.21846098533407,0.2926691712146612,15,lstm_exog
57629.57206690641,67955.51820121685,11.48177960550033,0.11181301973217876,16,lstm_exog
327306.3537789289,335538.1108623381,42.004426450808275,0.34843678942045303,17,lstm_exog
593627.2383417005,600281.6392808896,78.48099572171343,0.5607302921396772,18,lstm_exog
793718.4478604431,807317.2752674225,80.46492767577477,0.5706316640286793,19,lstm_exog
1297748.6116659413,1310392.982924257,89.70775279927713,0.6149891574098533,20,lstm_exog
293137.05490652565,297400.05501601443,51.931584778463346,0.4124507318710064,21,lstm_exog
513191.80724674417,523417.47967341065,68.94386095268155,0.5102952433483084,22,lstm_exog
767460.39690627,792209.0687647597,76.16194503364338,0.5501872652731348,23,lstm_exog
758437.0676665725,775857.114427518,78.49250695372021,0.5626608664746193,24,lstm_exog
242411.3064551887,250029.38733355585,42.26598961786885,0.3494375486876727,25,lstm_exog
448292.1964856757,459238.02780115575,56.62339569392674,0.44250816511129715,26,lstm_exog
1004490.1093602311,1037287.434714016,85.73948443910459,0.5927836022014316,27,lstm_exog
604730.6222759238,617936.6318305127,60.68659800871838,0.46758280865174884,28,lstm_exog
123217.4630410261,130536.91824771525,26.37596725919043,0.23456244736769358,29,lstm_exog
15956.486957945765,20589.256340214357,3.712443372549377,0.03656347900406689,30,lstm_exog
832564.4090444847,842463.194089473,86.53214017634801,0.5960726779846828,31,lstm_exog
677395.6077584368,684662.8170450235,81.06158021814706,0.5745921728981308,32,lstm_exog
214913.22634493758,218950.46635524658,57.17549093676622,0.8053650218836379,33,lstm_exog
512732.60628583864,516263.9261738608,71.59400469022069,0.5250067972770406,34,lstm_exog
326266.0044915827,335569.33160333586,48.133634263813,0.38933525872576125,35,lstm_exog
52298.315310243874,58991.60998837288,15.69117649942269,0.16998858869520042,36,lstm_exog
167567.71766893435,168728.78774935604,38.0601078381596,0.3195636857479471,37,lstm_exog
28668.80122708793,37219.35512989565,6.628165409144729,0.06611483421711371,38,lstm_exog
862999.1468515408,883382.5097717433,77.90109077033537,0.5579471605170381,39,lstm_exog
395992.80016557296,404838.15019312553,51.00665327524299,0.40796284587173487,40,lstm_exog
885921.074042592,904628.1933434794,99.10973720452398,0.6600087580015555,41,lstm_exog
64189.07779867703,78766.83624532395,11.434952503299419,0.11110719370842483,42,lstm_exog
157074.13907066936,160652.54450576226,28.608555117266395,0.25071382065209247,43,lstm_exog
135173.27259333388,136560.19565128902,33.81583218530679,0.4078905990538343,44,lstm_exog
248017.3203113761,253396.23467324264,38.28309414169626,0.32233162168101565,45,lstm_exog
