MAE,RMSE,sMAPE,WAPE,Store,model
74135.59576923073,105422.50945417616,4.588370874122005,0.04627662902683874,1,deepar_exog
77709.87935897439,101068.42933522134,4.050490046940523,0.04063682567181806,2,deepar_exog
23207.805929487182,31145.50783941343,5.482247913070298,0.05471062347067753,3,deepar_exog
85950.32089743589,106027.93351112568,3.9031611399471253,0.039506710211509866,4,deepar_exog
16598.117435897442,22359.83008092527,4.980281912120741,0.04986413639944279,5,deepar_exog
71254.73115384615,100161.63737187804,4.521552426867798,0.04560594839558674,6,deepar_exog
67344.79173076921,79281.64212581806,11.42712692384617,0.11448441903584695,7,deepar_exog
36325.81410256411,58903.39276229725,3.9124179158064387,0.039405493029851954,8,deepar_exog
25549.816250000007,37086.73261691113,4.490946435313662,0.04525809362583751,9,deepar_exog
109905.69653846152,132486.7484744553,5.887519639879383,0.05992703537882682,10,deepar_exog
66577.05474358973,83411.70279058014,4.845625329955065,0.048746503278398155,11,deepar_exog
55050.058589743596,68333.63969606505,5.379303630242524,0.05397142189869021,12,deepar_exog
79207.46974358973,102482.62505567138,3.88077044665118,0.038855932377622464,13,deepar_exog
193428.91307692308,231725.60383960407,10.579540755845587,0.10700090721322655,14,deepar_exog
40479.036666666674,47358.33237791883,6.77176387541108,0.06894263687622654,15,deepar_exog
35247.04169871794,46944.318106717605,6.836201688721331,0.06838638614883673,16,deepar_exog
50230.096474358965,72250.15379819523,5.276683205891496,0.05347288051617404,17,deepar_exog
55355.48775641026,71944.54292003503,5.250228935795002,0.05228786150024918,18,deepar_exog
81992.58923076921,101811.9563537961,5.802824197542468,0.0589473102923271,19,deepar_exog
112548.73448717945,163313.8551455363,5.280820323432143,0.05333563894240022,20,deepar_exog
49084.223525641035,57524.56575747906,6.820676846369765,0.06906265713465089,21,deepar_exog
52207.034871794865,61882.927909966515,5.138763761046503,0.051912367243982745,22,deepar_exog
83698.10666666667,106244.14079437673,5.9028776223697,0.060002617204880364,23,deepar_exog
64764.01012820512,83549.70921800006,4.805516519394528,0.04804640438687907,24,deepar_exog
38246.927628205136,46194.24668467273,5.440797044069591,0.05513320657634183,25,deepar_exog
49943.92288461538,62565.554648454214,4.945856253391142,0.049299527958295515,26,deepar_exog
92598.92538461539,108640.6560836828,5.420163280295038,0.05464575911497481,27,deepar_exog
112680.56807692308,125340.2663663387,8.571515057667174,0.08712556394711934,28,deepar_exog
31048.379230769242,40243.62701079974,5.869896852660472,0.05910512714212147,29,deepar_exog
17416.89336538461,20736.872193274583,4.048699838231579,0.03990992607330758,30,deepar_exog
43103.46910256409,54168.69823734219,3.062690513028482,0.030859834962057117,31,deepar_exog
46917.12564102566,60906.761661426026,3.9784590470259693,0.03979685262120122,32,deepar_exog
14724.257179487176,18963.280959641856,5.498271173547627,0.05517762637160901,33,deepar_exog
36152.77012820513,50936.219374214765,3.651418789838352,0.03701822319277428,34,deepar_exog
43358.49121794872,55693.05582505714,5.154683175267233,0.051739958082988764,35,deepar_exog
21710.89570512821,25368.298169931055,6.824030586266629,0.07056832516171967,36,deepar_exog
18187.801538461532,23110.128447860727,3.498786031643707,0.03468544524050933,37,deepar_exog
22708.654807692306,30883.59072457722,5.2409818715408765,0.05236978470120508,38,deepar_exog
77125.41166666665,102967.10186574051,4.978106954837616,0.04986320623851898,39,deepar_exog
49262.64923076923,68534.6888725045,5.081921619963718,0.0507517575242846,40,deepar_exog
65977.39166666665,86274.32083859634,4.932229181278631,0.049152974916143954,41,deepar_exog
31733.238461538458,37540.49247724506,5.4718420191263855,0.05492820887379159,42,deepar_exog
21781.744102564113,27211.561703636533,3.4689018059021293,0.034766921637960246,43,deepar_exog
19456.63650641025,23446.018739059007,6.070143140815543,0.058711156191714145,44,deepar_exog
43456.98134615386,52412.583259351275,5.610032290333697,0.056478149401346135,45,deepar_exog
