model,Store,MAE,RMSE,sMAPE
prophet_regressors,1,79977.67517640164,98002.62138496323,4.960833216491095
prophet_regressors,2,67066.65059904804,87675.4721513193,3.4918018766467616
prophet_regressors,3,22229.496321229868,27831.300042528568,5.222898769009863
prophet_regressors,4,69108.62643344876,92389.14443698301,3.1533863535605713
prophet_regressors,5,14328.515399191678,18577.20306853385,4.246468664761758
prophet_regressors,6,72377.36890513952,96154.50492143627,4.619887746922804
prophet_regressors,7,33305.7911562005,40054.33789388414,5.505263105301226
prophet_regressors,8,37081.230185572036,46177.09005557848,3.9654450430839985
prophet_regressors,9,26845.591682633494,33757.52618143422,4.666899032549208
prophet_regressors,10,66172.35660333006,90913.00139084739,3.5929816735561406
prophet_regressors,11,67372.5059911495,83910.61326024705,4.916824752565323
prophet_regressors,12,39001.28372010005,47677.213374524494,3.8106156640140725
prophet_regressors,13,63699.14862699004,87315.371876008,3.1122676497940285
prophet_regressors,14,124224.61620840301,166108.0920725294,6.794213582914273
prophet_regressors,15,26798.738107295656,34309.170350836954,4.51983875005506
prophet_regressors,16,27000.811322907724,33722.151131397026,5.227736443186213
prophet_regressors,17,48997.28950055371,66139.41704846342,4.99149116182
prophet_regressors,18,61294.68282669909,85698.3422103407,6.019437335298265
prophet_regressors,19,57503.08801040042,78214.51412955717,4.081043452373736
prophet_regressors,20,105077.14846863462,145928.6442852672,4.950768204878481
prophet_regressors,21,34671.44862930198,44869.93744867962,4.903717761877855
prophet_regressors,22,37130.19530245852,51619.34360710644,3.6809773269022505
prophet_regressors,23,60159.14819094477,85783.60874109747,4.306808817298066
prophet_regressors,24,64852.214543428425,85968.71406784821,4.743536669368037
prophet_regressors,25,26342.057787121514,34012.61207586062,3.7814034273985944
prophet_regressors,26,41898.96579535971,56727.06774892122,4.125888672056579
prophet_regressors,27,62235.82741670113,82892.0577148915,3.6681674574708083
prophet_regressors,28,130593.79914503149,146434.61502378905,9.891165664317649
prophet_regressors,29,23528.21416123665,36740.03724549274,4.533596784597562
prophet_regressors,30,12046.518365596092,14524.436058350777,2.7532431690208736
prophet_regressors,31,50330.78315936305,63586.214218780384,3.5603807494418245
prophet_regressors,32,36618.45002193555,46260.37051902147,3.1046229858671004
prophet_regressors,33,17677.623761761777,22668.12123432793,6.648615101784098
prophet_regressors,34,34698.85509072104,45910.91703331831,3.5329041787622906
prophet_regressors,35,78260.68031917671,102102.30492878561,9.805016516449362
prophet_regressors,36,12744.384876134038,15356.81949861038,4.155939347708643
prophet_regressors,37,12107.538559292208,15988.08895165495,2.3151114716883856
prophet_regressors,38,32329.54695399226,35670.16344082681,7.327755105736283
prophet_regressors,39,56573.12292099563,79909.9109301924,3.6584006586799993
prophet_regressors,40,52398.25665202355,74856.38662563486,5.320252514252671
prophet_regressors,41,41590.21069915257,60865.73124379841,3.113832176024899
prophet_regressors,42,41090.486788831346,46375.412978471286,7.095601756605437
prophet_regressors,43,26906.457413155644,33209.44349330032,4.269499793199897
prophet_regressors,44,9086.864588467395,12283.434917821514,2.752034165748818
prophet_regressors,45,27305.04790743863,36091.13090416279,3.5162423515560794
