MAE,RMSE,sMAPE,WAPE,Store,model
101566.84635187019,117365.96130630364,6.28623946515547,0.06339965601250604,1,sarimax_exog
99371.34198920833,127788.54010387794,5.145864192361311,0.05196425389539259,2,sarimax_exog
25623.717074455246,34292.846983037634,6.022048893934492,0.06040594880184216,3,sarimax_exog
90781.95654362362,128814.78233535,4.155486477394275,0.04172755159207107,4,sarimax_exog
19156.521832300743,23856.412791808336,5.730481074648914,0.057550105984841775,5,sarimax_exog
92132.45403756775,116155.80906776797,5.8657824338895255,0.05896854673865792,6,sarimax_exog
42512.35188534776,54212.069979346445,7.237713611900783,0.07226990807097325,7,sarimax_exog
52373.373643670224,69840.34061215648,5.641217338515552,0.05681355424653244,8,sarimax_exog
36451.72287753051,46301.819093641716,6.401259727684059,0.06456936796225916,9,sarimax_exog
107931.6926470386,133913.1023440074,5.791447043113019,0.058850692616212646,10,sarimax_exog
85257.05800289549,106080.78575187354,6.203228211876989,0.062423660425514366,11,sarimax_exog
53500.01003331197,69040.19152065534,5.2116600874035806,0.05245174459505491,12,sarimax_exog
84045.82244743899,110613.89418273995,4.1310999576864145,0.041229429550154836,13,sarimax_exog
131711.9132406874,187113.73070211714,7.298284756829514,0.07286032880688678,14,sarimax_exog
34860.26804180745,46692.9767312216,5.96126782338757,0.05937292482539124,15,sarimax_exog
30261.053723740642,39611.75197677357,5.932823253646606,0.05871256155088029,16,sarimax_exog
69293.93453950882,104401.77296054664,6.9438260183093945,0.07376745302526373,17,sarimax_exog
63962.987731116584,84257.49258284953,6.137012998956019,0.0604183610185869,18,sarimax_exog
77718.1928517075,105824.56773278407,5.582386560895986,0.05587429879174144,19,sarimax_exog
127547.99766426206,188275.54621036715,6.044446812841012,0.06044362899542072,20,sarimax_exog
42909.173262453885,60103.457432292285,6.000200540886036,0.0603742161553829,21,sarimax_exog
56901.82234410824,76900.60038951122,5.7331403301306745,0.05658065633555211,22,sarimax_exog
91663.55947116253,122782.41548474091,6.708329704513763,0.06571299745750861,23,sarimax_exog
80853.86659671855,108207.47720600112,6.025637685066195,0.05998296836558746,24,sarimax_exog
31721.464287230046,41026.43403636777,4.571652386678224,0.04572670674237834,25,sarimax_exog
54144.19584129907,72096.87347969266,5.408292847705127,0.053445607443058735,26,sarimax_exog
89187.07651144333,121586.47153794212,5.318546706359462,0.05263231164908193,27,sarimax_exog
153479.26654236155,186917.311760287,11.522919549098418,0.11867146110378962,28,sarimax_exog
33183.0625707745,49456.934588951764,6.426375590966065,0.06316880883324635,29,sarimax_exog
14362.189497602889,17305.19510236947,3.2507606328843073,0.032910227391032096,30,sarimax_exog
60239.93047094746,75942.72222197938,4.2706147574218045,0.043128647210176604,31,sarimax_exog
44538.851899607296,58453.91979405125,3.8168073845318906,0.03777951229425381,32,sarimax_exog
16727.436577010252,19621.840275696108,6.232742945292728,0.0626843333656852,33,sarimax_exog
46468.72672936251,63113.964337786085,4.7038924933244886,0.04758113116785886,34,sarimax_exog
49293.92950170941,66736.66892494135,6.156254749601114,0.05882275361806074,35,sarimax_exog
14953.850658497851,17676.67638772502,4.821488587995369,0.048605465662082896,36,sarimax_exog
15393.400712505723,19673.450421500624,2.941488704635571,0.029356321947418735,37,sarimax_exog
38762.42982099283,45298.23838624166,8.607872879578467,0.08939235377048105,38,sarimax_exog
76530.26117376723,93306.35339958004,4.96635628658484,0.04947842888525623,39,sarimax_exog
69028.66284745162,91134.85188237399,7.146811762375982,0.07111525696980373,40,sarimax_exog
69090.29685067617,95416.7563212146,5.346600360801148,0.0514720806970907,41,sarimax_exog
43150.799509674725,51381.42438261459,7.443300172509536,0.07469127777208301,42,sarimax_exog
25655.685804250425,31637.534623760603,4.074005703109922,0.04095031204684397,43,sarimax_exog
10615.491276811901,13252.122642808321,3.210971268596811,0.032032657144997555,44,sarimax_exog
38580.58496890524,51487.41266116786,5.026474269193404,0.05014062123893948,45,sarimax_exog
