model,Store,MAE,RMSE,sMAPE
transformer_exog,1,119946.90968944624,157907.10641567907,7.5794170711341895
transformer_exog,2,133349.20740588167,189527.39299265898,7.166589093864212
transformer_exog,3,57533.201959590595,68896.66089147303,13.974167988160902
transformer_exog,4,165891.49878380823,222387.49544721673,7.930917482732405
transformer_exog,5,55450.27442798725,71532.32147264045,15.008121119314742
transformer_exog,6,124209.67369209215,156817.02365607905,7.8951260996084764
transformer_exog,7,61916.13636237575,74865.04609413542,10.562603951882087
transformer_exog,8,70282.05428506681,90766.06928208328,7.811179567898236
transformer_exog,9,69059.14931030746,90227.51359667504,13.009038532106299
transformer_exog,10,121959.21203548241,174354.48108355456,6.6861837336880425
transformer_exog,11,96304.58441895913,135356.59101509838,7.154556032593357
transformer_exog,12,81701.53272950248,124159.39820276796,8.409842112630615
transformer_exog,13,124186.3623438787,169206.12660483876,6.380503556957637
transformer_exog,14,200452.52423216173,251573.65649919325,10.931017004236006
transformer_exog,15,56567.65640816692,72074.504490536,9.816670192914017
transformer_exog,16,45565.14770532604,58075.021095553435,8.971729679576237
transformer_exog,17,76029.79168124124,107306.48099965014,8.220877015959134
transformer_exog,18,72994.07128676098,95040.12594744784,7.083638488734007
transformer_exog,19,100089.67208082165,124265.39750528714,7.207873684325438
transformer_exog,20,160868.39436102952,225745.40937349322,7.844066671861736
transformer_exog,21,55187.04323519932,70559.42937875906,7.812744827497967
transformer_exog,22,65164.20958309792,81633.18455532187,6.4810631013158035
transformer_exog,23,111959.00223231564,132599.82489311826,8.022264680088977
transformer_exog,24,88092.50890516951,121494.43378795912,6.65523892867325
transformer_exog,25,64602.22791011188,78850.6796483158,9.390541912686679
transformer_exog,26,71421.73463211233,92731.12017294967,7.226600330832655
transformer_exog,27,102422.72894309819,137584.14621219426,6.091359617240537
transformer_exog,28,141577.5168818769,182655.08664309487,10.885939142726626
transformer_exog,29,61029.21674196966,78143.74229748348,11.925907905010002
transformer_exog,30,56243.93546576092,68230.75166181909,13.317502473485083
transformer_exog,31,87459.14383342114,109376.78737860094,6.194624669693518
transformer_exog,32,59670.612419713005,83342.33194278197,5.178820823073078
transformer_exog,33,58068.85152770514,75154.29709267849,19.605474537848046
transformer_exog,34,58863.896145107916,91453.1329673439,6.218275598204149
transformer_exog,35,64395.792852922845,79943.11039135758,7.747235155653391
transformer_exog,36,73747.5559550426,89210.85326006699,20.643474601152853
transformer_exog,37,48760.482059300324,61161.84272540118,9.676079353822507
transformer_exog,38,54262.012933708465,78170.03193604112,12.63861342168832
transformer_exog,39,103101.00560440228,127380.61867583785,6.739987686988784
transformer_exog,40,92923.03760646745,113340.37266526851,9.961336282360632
transformer_exog,41,88086.02684584752,110606.27840977251,6.7295093584881736
transformer_exog,42,77720.78570715104,100603.86565866509,14.55910882539937
transformer_exog,43,46982.48389298983,65548.13239960882,7.856361482115274
transformer_exog,44,53793.26096540131,67002.28440627687,15.229090755122284
transformer_exog,45,58140.1592212316,71587.1520613915,7.705438205139944
